,,,,,,,
sn,crop,year,scale,area_total,production,source,remark
,Rice,2072/73 (2015-16),Country,1362908,4299079,"Agriculture diary, 2076",
,Rice,2073/74 (2016-17),Country,1552469,5230327,"Agriculture diary, 2076",
,Rice,2074/75 (2017-18),Country,1469545,5151925,"Agriculture diary, 2076",
,Rice,2075/76 (2018-19),Country,1491744,5610011,"Agriculture diary, 2077",
,Maize,2072/73 (2015-16),Country,891583,2231517,"Agriculture diary, 2076",
,Maize,2073/74 (2016-17),Country,900288,2300121,"Agriculture diary, 2076",
,Maize,2074/75 (2017-18),Country,954158,2555847,"Agriculture diary, 2076",
,Maize,2075/76 (2018-19),Country,956447,2713635,"Agriculture diary, 2077",
,Wheat,2072/73 (2015-16),Country,745823,1736849,"Agriculture diary, 2076",
,Wheat,2073/74 (2016-17),Country,735850,1879191,"Agriculture diary, 2076",
,Wheat,2074/75 (2017-18),Country,706843,1949001,"Agriculture diary, 2076",
,Wheat,2075/76 (2018-19),Country,703992,2005665,"Agriculture diary, 2077",
,Fingermillet,2072/73 (2015-16),Country,266799,302397,"Agriculture diary, 2076",
,Fingermillet,2073/74 (2016-17),Country,263596,306704,"Agriculture diary, 2076",
,Fingermillet,2074/75 (2017-18),Country,263497,313987,"Agriculture diary, 2076",
,Fingermillet,2075/76 (2018-19),Country,263261,314225,"Agriculture diary, 2077",
,Barley,2072/73 (2015-16),Country,28361,32801,"Agriculture diary, 2076",
,Barley,2073/74 (2016-17),Country,27370,30510,"Agriculture diary, 2076",
,Barley,2074/75 (2017-18),Country,24648,30510,"Agriculture diary, 2076",
,Barley,2075/76 (2018-19),Country,24409,30550,"Agriculture diary, 2077",
,Buckwheat,2072/73 (2015-16),Country,10842,11641,"Agriculture diary, 2076",
,Buckwheat,2073/74 (2016-17),Country,11090,12039,"Agriculture diary, 2076",
,Buckwheat,2074/75 (2017-18),Country,10296,11472,"Agriculture diary, 2076",
,Buckwheat,2075/76 (2018-19),Country,10311,11464,"Agriculture diary, 2077",
,Cereal total,2072/73 (2015-16),Country,3306316,8614284,"Agriculture diary, 2076",
,Cereal total,2073/74 (2016-17),Country,3518317,9771765,"Agriculture diary, 2076",
,Cereal total,2074/75 (2017-18),Country,3428983,10012742,"Agriculture diary, 2076",
,Cereal total,2075/76 (2018-19),Country,3450163,10685550,"Agriculture diary, 2077",
,Lentil,2072/73 (2015-16),Country,205939,253041,"Agriculture diary, 2076",
,Lentil,2073/74 (2016-17),Country,206969,254308,"Agriculture diary, 2076",
,Lentil,2074/75 (2017-18),Country,197662,247950,"Agriculture diary, 2076",
,Lentil,2075/76 (2018-19),Country,208766,251185,"Agriculture diary, 2077",
,Chickpea,2072/73 (2015-16),Country,9883,10914,"Agriculture diary, 2076",
,Chickpea,2073/74 (2016-17),Country,9933,10969,"Agriculture diary, 2076",
,Chickpea,2074/75 (2017-18),Country,9483,10695,"Agriculture diary, 2076",
,Chickpea,2075/76 (2018-19),Country,9653,10675,"Agriculture diary, 2077",
,Pigeon pea,2072/73 (2015-16),Country,17006,16415,"Agriculture diary, 2076",
,Pigeon pea,2073/74 (2016-17),Country,17091,16497,"Agriculture diary, 2076",
,Pigeon pea,2074/75 (2017-18),Country,16322,16084,"Agriculture diary, 2076",
,Pigeon pea,2075/76 (2018-19),Country,16753,16538,"Agriculture diary, 2077",
,Blackgram,2072/73 (2015-16),Country,23312,19402,"Agriculture diary, 2076",
,Blackgram,2073/74 (2016-17),Country,23429,19499,"Agriculture diary, 2076",
,Blackgram,2074/75 (2017-18),Country,22375,19011,"Agriculture diary, 2076",
,Blackgram,2075/76 (2018-19),Country,23492,19928,"Agriculture diary, 2077",
,Pea,2072/73 (2015-16),Country,8075,9354,"Agriculture diary, 2076",
,Pea,2073/74 (2016-17),Country,8075,9354,"Agriculture diary, 2076",
,Pea,2074/75 (2017-18),Country,7712,9120,"Agriculture diary, 2076",
,Pea,2075/76 (2018-19),Country,7952,9329,"Agriculture diary, 2077",
,Horsegram,2072/73 (2015-16),Country,6319,5662,"Agriculture diary, 2076",
,Horsegram,2073/74 (2016-17),Country,6351,5690,"Agriculture diary, 2076",
,Horsegram,2074/75 (2017-18),Country,6057,5548,"Agriculture diary, 2076",
,Horsegram,2075/76 (2018-19),Country,6119,5754,"Agriculture diary, 2077",
,Soybean,2072/73 (2015-16),Country,23446,28917,"Agriculture diary, 2076",
,Soybean,2073/74 (2016-17),Country,23563,29061,"Agriculture diary, 2076",
,Soybean,2074/75 (2017-18),Country,22507,28335,"Agriculture diary, 2076",
,Soybean,2075/76 (2018-19),Country,25179,31567,"Agriculture diary, 2077",
,Other legume,2072/73 (2015-16),Country,30644,32817,"Agriculture diary, 2076",
,Other legume,2073/74 (2016-17),Country,30644,32817,"Agriculture diary, 2076",
,Other legume,2074/75 (2017-18),Country,29265,31997,"Agriculture diary, 2076",
,Other legume,2075/76 (2018-19),Country,33826,37011,"Agriculture diary, 2077",
