,,,,,,,
crop,year,scale,district,area_total,production,source,remark
Cotton,2073/74,District,Dang,106,74,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2073/74,District,Banke,27,41,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2073/74,District,Bardiya,10,12,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2062/63 (2005-06),Country,,59,57,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2063/64 (2006-07),Country,,50,45,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2064/65 (2007-08),Country,,75,68.5,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2065/66 (2008-09),Country,,100,59,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2066/67 (2009-10),Country,,121,109,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2067/68 (2010-11),Country,,135,133,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2068/69 (2011-12),Country,,135,133,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2069/70 (2012-13),Country,,175,150,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2070/71 (2013-14),Country,,130,132,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2071/72 (2014-15),Country,,123,137,"Statistical Information on Nepalese Agriculture, 2073/74",
Cotton,2072/73,Country,,125,129,"Agriculture diary, 2076",
Cotton,2073/74,Country,,143,127,"Agriculture diary, 2076",
Cotton,2074/75,Country,,120,125,"Agriculture diary, 2076",
Cotton,2075/76,Country,,97,98.5,"Agriculture diary, 2077",
Oilseeds,2072/73,Country,,217864,208291,"Agriculture diary, 2076",
Oilseeds,2073/74,Country,,207978,214451,"Agriculture diary, 2076",
Oilseeds,2074/75,Country,,224595,245867,"Agriculture diary, 2076",
Oilseeds,2075/76,Country,,260307,280530,"Agriculture diary, 2077",
Potato,2072/73,Country,,199971,2806582,"Agriculture diary, 2076",
Potato,2073/74,Country,,185879,2591686,"Agriculture diary, 2076",
Potato,2074/75,Country,,195173,2881829,"Agriculture diary, 2076",
Potato,2075/76,Country,,193997,3112947,"Agriculture diary, 2077",
Tobaccoo,2072/73,Country,,1724,2227,"Agriculture diary, 2076",
Sugarcane,2072/73,Country,,80931,4346754,"Agriculture diary, 2076",
Sugarcane,2073/74,Country,,70807,3219560,"Agriculture diary, 2076",
Sugarcane,2074/75,Country,,78609,3558182,"Agriculture diary, 2076",
Sugarcane,2075/76,Country,,71625,3557934,"Agriculture diary, 2077",
Jute,2062/63 (2005-06),Country,,11975,17100,"Statistical Information on Nepalese Agriculture, 2073/74",
Jute,2063/64 (2006-07),Country,,11726,16815,"Statistical Information on Nepalese Agriculture, 2073/74",
Jute,2064/65 (2007-08),Country,,11590,16988,"Statistical Information on Nepalese Agriculture, 2073/74",
Jute,2065/66 (2008-09),Country,,11678,17658,"Statistical Information on Nepalese Agriculture, 2073/74",
Jute,2066/67 (2009-10),Country,,10513,12959,"Statistical Information on Nepalese Agriculture, 2073/74",
Jute,2067/68 (2010-11),Country,,10559,14418,"Statistical Information on Nepalese Agriculture, 2073/74",
Jute,2068/69 (2011-12),Country,,10540,14424,"Statistical Information on Nepalese Agriculture, 2073/74",
Jute,2069/70 (2012-13),Country,,11300,15500,"Statistical Information on Nepalese Agriculture, 2073/74",
Jute,2070/71 (2013-14),Country,,8828,12659,"Statistical Information on Nepalese Agriculture, 2073/74",
Jute,2071/72 (2014-15),Country,,8641,12546,"Statistical Information on Nepalese Agriculture, 2073/74",
Jute,2072/73,Country,,8011,11633,"Agriculture diary, 2076",
Jute,2073/74,Country,,7477,11018,"Agriculture diary, 2076",
Jute,2074/75,Country,,7507,11159,"Agriculture diary, 2076",
Jute,2075/76,Country,,7285,10585,"Agriculture diary, 2077",
Rubber,2073/74,Country,,700,805,"Agriculture diary, 2077",
Rubber,2074/75,Country,,269,296,"Agriculture diary, 2077",
Rubber,2075/76,Country,,243,522,"Agriculture diary, 2077",
