,,,,,,,,
sn,crop,year,scale,area_productive,area_total,production,source,remark
,Fruits,2062/63 (2005-06),Country,56548,,535449,,
,Fruits,2063/64 (2006-07),Country,57595,,575095,,
,Fruits,2064/65 (2007-08),Country,63432,100099,630563,Statistical information on nepalese agriculture 2016/17,
,Fruits,2065/66 (2008-09),Country,68785,103651,686213,Statistical information on nepalese agriculture 2016/17,
,Fruits,2066/67 (2009-10),Country,70722,107322,706972,Statistical information on nepalese agriculture 2016/17,
,Fruits,2067/68 (2010-11),Country,79184,117932,794164,Statistical information on nepalese agriculture 2016/17,
,Fruits,2068/69 (2011-12),Country,101233,139321,1029754,Statistical information on nepalese agriculture 2016/17,
,Fruits,2069/70 (2012-13),Country,101480,137758,938731,Statistical information on nepalese agriculture 2016/17,
,Fruits,2070/71 (2013-14),Country,110617,150150,965044,Statistical information on nepalese agriculture 2016/17,
,Fruits,2071/72 (2014-15),Country,110802,150387,991978,Statistical information on nepalese agriculture 2016/17,
,Fruits,2072/73 (2015-16),Country,110586,157199,976461,Statistical information on nepalese agriculture 2016/17,
,Fruits,2072/73 (2015-16),Country,,150387,1106170,"Agriculture diary, 2076",
,Fruits,2073/74 (2016-17),Country,,157199,1108020,"Agriculture diary, 2076",
,Fruits,2074/75 (2017-18),Country,,130449,1058519,"Agriculture diary, 2076",
,Fruits,2075/76 (2018-19),Country,,120028,1178352,"Agriculture diary, 2077",
,Vegetables,2062/63 (2005-06),Country,189832,,2190100,,
,Vegetables,2063/64 (2006-07),Country,191922,,2298689,,
,Vegetables,2064/65 (2007-08),Country,208108,,2538904,Statistical information on nepalese agriculture 2016/17,
,Vegetables,2065/66 (2008-09),Country,225154,,2754406,Statistical information on nepalese agriculture 2016/17,
,Vegetables,2066/67 (2009-10),Country,235098,,3003821,Statistical information on nepalese agriculture 2016/17,
,Vegetables,2067/68 (2010-11),Country,244102,,3203563,Statistical information on nepalese agriculture 2016/17,
,Vegetables,2068/69 (2011-12),Country,245037,,3298816,Statistical information on nepalese agriculture 2016/17,
,Vegetables,2069/70 (2012-13),Country,246391,,3301683,Statistical information on nepalese agriculture 2016/17,
,Vegetables,2070/71 (2013-14),Country,254931,,3421035,Statistical information on nepalese agriculture 2016/17,
,Vegetables,2071/72 (2014-15),Country,266937,,3580084,Statistical information on nepalese agriculture 2016/17,
,Vegetables,2072/73 (2015-16),Country,280807,,3929034,Statistical information on nepalese agriculture 2016/17,
,Vegetables,2072/73 (2015-16),Country,,3700969,3580085,"Agriculture diary, 2076",Area information needs fixing
,Vegetables,2073/74 (2016-17),Country,,284135,3859492,"Agriculture diary, 2076",
