Apple,"Bitter pit, lenticel blotch, cork spot, lenticel breakdown, cracking, low temperature breakdown, internal breakdown, senescent breakdown, Jonathan spot and water core"
Avocado,End spot
Bean,Hypocotyl necrosis
Brussels sprout,Internal browning
Cabbage,Internal tipburn
Chinese cabbage,Internal tipburn
Carrot,"Cavity spot, cracking"
Celery,Blackheart
Cherry,Cracking
Chicory,"Blackheart, tipburn"
Escarole,"Brownheart, tipburn"
Lettuce,Tipburn
Mango,Soft nose
Parsnip,Cavity spot
Pear,Cork spot
Pepper,Blossom end rot
Potato,"Sprout failure, tipburn"
Strawberry,Leaf tipburn
Tomato,"Blossom end rot, blackseed, cracking"
Watermelon,Blossom end rot
