S.N.,Date,Country,Occasion
1,August 19,Afghanistan,Independence Day
2,November 28,Albania,Independence Day
3,November 1,Algeria,National Day
4,September 8,Andorra,National Day
5,November 11,Angola,Independence Day
6,November 1,Antigua and Barbuda,Independence Day
7,May 25,Argentina,National Day
8,September 21,Armenia,Independence Day
9,January 26,Australia,National Day
10,October 26,Austria,National Day
11,May 28,Azerbaijan,Day of the Republic
12,July 10,Bahamas,Independence Day
13,December 16,Bahrain,National Day
14,March 26,Bangladesh,Independence Day
15,July 3,Belarus,Day of Republic
16,July 21,Belgium,National Day 
17,December 17,Bhutan,Coronation of the First Druk Gyalpo (King of Bhutan)
18,August 6,Bolivia,Independence Day
19,March 1,Bosnia Herzegovina,National Day
20,September 30,Botswana,Independence Day
21,September 7,Brazil,National Day
22,February 23,Brunei Darussalam,National Day
23,March 3,Bulgaria,National Day
24,December 11,Burkina Faso,Republic Day
25,July 5,Cabo Verde,Independence Day
26,November 9,Cambodia,Independence Day
27,July 1,Canada,Canada Day
28,September 18,Chile,Independence Day
29,October 1,China,Anniversary of the Founding of the People's Republic of China
30,July 20,Colombia,Independence Day
31,September 15,Costa Rica,Anniversary of the Independence of the Republic of Costa Rica
32,August 7,Côte d’Ivoire,Independence Day
33,June 25,Croatia,Statehood Day
34,January 1,Cuba,Liberation Day
35,October 1,Cyprus,Independence Day
36,October 28,Czech Republic,National Day
37,June 5,Denmark,Constitution Day
38,August 7,Djibouti,Independence Day
39,February 27,Dominican Republic ,Independence Day
40,September 9,DPR Korea,Day of the Foundation of the Democratic People’s Republic of Korea
41,June 30,DR Congo,Independence Day
42,August 10,Ecuador ,Independence Day
43,July 23,Egypt,National Day
44,September 15,El Salvador,Independence Day
45,May 24,Eritrea,Independence Day
46,February 24,Estonia,Independence Day
47,May 28,Ethiopia,National Day
48,October 10,Fiji,National Day
49,December 6,Finland,Independence Day
50,July 14,France,National Day
51,August 17,Gabon,Independence Day
52,April 9,Georgia,Independence Day
53,October 3,Germany,Day of German Unity
54,March 25,Greece,Independence Day
55,September 15,Guatemala,Independence Day
56,October 2,Guinea,Independence Day
57,February 23,Guyana,Republic Day
58,January 1,Haiti,Independence Day
59,March 13,Holy See,National Day: Anniversary of Election of Pope Francis
60,September 15,Honduras ,Independence Day
61,October 23,Hungary,National Day
62,June 17,Iceland,National Day
63,January 26,India,Republic Day
64,August 17,Indonesia,Independence Day
65,February 11,Iran,Anniversary of the Islamic Revolution 
66,October 3,Iraq,Independence Day
67,March 17,Ireland,St. Patrick’s Day
68,April 23,Israel,"Independence Day (12 May 2016, Independence Day)"
69,June 2,Italy,National Day
70,August 6,Jamaica,Independence Day
71,December 23,Japan,Birthday of His Majesty the Emperor
72,May 25,Jordan,Independence Day
73,December 16,Kazakhstan,Independence Day
74,December 12,Kenya,Republic Day
75,February 25,Kuwait,National Day
76,August 31,Kyrgyz Republic,National Day
77,December 2,Laos,Founding of the Lao People’s Democratic Republic
78,November 18,Latvia,Independence Day
79,November 22,Lebanon,National Day
80,October 4,Lesotho,Independence Day
81,July 26,Liberia,Independence Day
82,August 15,Liechtenstein,National Day
83,September 1,Libya,National Day
84,February 16,Lithuania ,Independence Day
85,June 23,Luxembourg,National Day (Official Birthday of HRH the Grand Duke)
