crop,pH
Rice,5-6.5
Sorghum,5.5-7
Maize,5.5-7
Wheat,5.5-7.5
Oat,6-7
Barley,6.5-8
Groundnut,5-6.0
Mustard,6-7
Rye,6-7
Sunflower,6-7
Sugarcane,6-7
Sugarbeet,6-7
Cotton,5-6.0
Tea,5-5.5
Coffee,5-6.0
Pepper,6-6.5
Lucerne,6-7
Clover,6-7
Potato,5-5.5
Sweet potato,5-6.0
Carrot,5.5-6.5
Bitter gourd,5.5-6.5
Brinjal,5.5-6.5
Pea,5.5-6.5
Radish,5.5-6.5
Chillies,5.5-6.5
Turnip,5.5-6.5
Tomato,5.5-6.0
Cowpea,5.5-7
Onion,6-7.5
Lettuce,6-7
Cabbage,6-7
Cauliflower,6-7
Guard,6-7
Beans,6-7.5
Lady’s finger,6-7.5
Cucumber,6-8
Spinach,6.5-7
Mint,6-8
Ginger,6-7.5
Watermelon,5-6.0
Pineapple,5.5-6.5
Mango,5.5-6.5
Apple,5.5-6.5
Pummelo,5.5-6.5
Guava,5.5-7
Lemon,6-7
Fig,6-7
Banana,6-7
Papaya,6-7.5
Grape fruit,6-7.5
Lime,6-7.5
Pomegranete,6-7.5
Grapes,6-8
Pear,6-8
Walnut,6-8
Date palm,6-8.5
Bougainvillea,5.5-7
Rose,6.6-7
Chrysanthemum,6-7.5
