# Major crops and producer districts as well as countries,,,,
SN,Crop,Region,Rank,Remark
1,Rice,Worldwide,"China, India, Indonesia, Bangladesh",
2,Rice,Nepal,"Jhapa, Morang, Bara, Rupandehi, Dhanusha","Based on productivity: Bhaktapur, Bara, Parsa"
3,Maize,Worldwide,"US, China, Brazil, India",
4,Maize,Nepal,"Chitwan, Parbat, Syangja, Tanahun, Kavre",
5,Wheat,Worldwide,"China, India, US, France",
6,Wheat,Nepal,"Rupandehi, Bara, Dhanusha, Parsa, Kanchanpur",
7,Millet,Worldwide,"India, Nigeria, China",Nepal stands 15th
8,Millet,Nepal,"Khotang, Sindhupalchowk, Baglung, Syangja, Okhaldhunga",
9,Rapeseed and mustard,Nepal,"Rupandehi, Surkhet, Dang, Kailali, Kanchanpur",
10,Groundnut,Nepal,"Rautahat, Sarlahi, Siraha",
11,Chickpea,Nepal,"Kanchanpur, Dang, Saptari, Bardiya, Banke",
12,Lentil,Nepal,"Rautahat, Sarlahi, Kailali, Dang, Bara",
13,Soybean,Nepal,"Kavre, Kanchanpur, Arghakhanchi, Chitwan, Nuwakot",
14,Pigeon pea,Nepal,"Banke, Bardiya, Sarlahi, Kapilvastu, Rupandehi",
