Fiscal Year,Exports,Imports,Total Trade,Trade Deficit
2008/09,"68,596,852","291,000,944","359,597,796","222,404,092"
2009/10,"60,949,603","75,605,870","436,555,473","314,656,267"
2010/11,"64,562,444","397,535,942","462,098,386","332,973,498"
2011/12,"74,089,060","98,161,074","572,250,135","424,072,014"
2012/13,"77,350,709","1,207,525","678,558,234","523,856,815"
2013/14,"91,361,036","22,776,788","814,137,824","631,415,752"
2014/15,"86,640,462","784,581,255","871,221,717","697,940,793"
2015/16,"71,137,663","81,145,961","852,283,624","710,008,298"
2016/17,"73,125,351","85,951,326","1,059,076,677","912,825,975"
2017/18,"81,325,378","1,245,190,247","1,326,515,625","1,163,864,869"
2018/19,"97,108,813","1,418,559,431","1,515,668,244","1,321,450,618"
