# Hydropower stations under operation;,,,,
"# Source: Bidhyut Magazine/Semi- Annual Report - NEA, Bhadra 2063; NEA Annual Report 2073 B.S.",,,,
Hydropower,Location,Capacity (MW),Commissioned,Owner
Kaligandaki A Hydroelectric Power Station,Syangja,144,2002,NEA
Middle Marsyangdi,Lamjung,70,2008,NEA
Mai Hydropower Station,Illam,22,2014,Sanima Hydropower
Marsyangdi,Tanahun,69,1989,NEA
Kulekhani I,Makwanpur,60,1982,NEA
Sunkoshi Small Hydropower Plant,Sindhupalchowk,2.5,2005,Sanima Hydropower
Khimti I,Dolkha,60,2000,Himal Power Ltd.
Trishuli 3A,Rasuwa,60,2019,Nepal Electricity Authority (NEA)
Upper Marsyangdi A,Lamjung Marsyangdi Rural Municipality,50,2016,"SSPC, Power China"
Bhote Koshi Power Plant (Upper Bhote Koshi),Sindhupalchowk,45,2001,Bhote Koshi Power Company Private Limited (BKPC)
Kulekhani II,Makwanpur,32,1986,NEA
Chameliya,Darchula,30,2018,NEA
Trishuli,Nuwakot,24,"1967 ( Initially installed capacity was 21 MW, rehabilitated in 1995)",NEA
Chilime Hydropower Plant,Rasuwa,22,2003,Chilime Hydropower Company Ltd.
Gandak,Nawalparasi,15,1979,NEA
Modi Khola,Parbat,14.8,2000,NEA
Devighat,Nuwakot,14.1,1984,NEA
Madkyu Khola,Kaski,13,2018,Silkes Hydropower Pvt. Ltd.
Jhimruk Khola,Pyuthan,12,1994,Butwal Power Company Ltd.
Thapa Khola,Mustang,11.2,2018,Mount Kailash Energy Co. Pvt. Ltd.
Sunkoshi,Sindhupalchowk,10.05,1972,NEA
Lower Modi I,Parbat,10,2012,United Modi Hydropower Pvt. Ltd.
Andhi Khola,Syangja,9.4,"1991 ( Initially installed capacity was 5.1 MW, rehabilitated in 2016)",Butwal Power Company Ltd.
Indrawati III,Sindhupalchowk,7.5,2002,National Hydropower Co. Ltd.
Puwa Khola,Ilam,6.2,1999,NEA
Mailun Khola,Rasuwa,6,2013,Mailun Khola Hydropower Pvt. Ltd.
Chatara,Sunsari,3.2,1996,NEA
Panauti (Khopasi) Hydropower,Kavre,2.4,1965,NEA
Seti,Pokhara,1.5,1985,NEA
Fewa Hydropower,Pokhara,1,1969,NEAG
