# Indicators of Educational Achievements,,,,,,,
"# Source: MoEST, 2020",,,,,,,
Heading,Indicators,2014,2015,2016,2017,2018,2019
Basic Education ( Including Early Childhood Development/Pre-primary Education),Total Enrollment Rate in Pre-Primary Education,77.7,81,82.9,84.1,84.7,86.2
Basic Education ( Including Early Childhood Development/Pre-primary Education),New Enrollment Rate in Grade 1 having Experience of Pre-Primary Eduction (\%),59.6,62.4,64.7,66.3,66.9,68.6
Basic Education ( Including Early Childhood Development/Pre-primary Education),Gross Enrollment Rate in Grade 1,137,136.7,133.5,128.6,123.9,121.9
Basic Education ( Including Early Childhood Development/Pre-primary Education),Net Intake Rate in Grade 1,93,93.9,95.2,95.9,96.3,96.9
Basic Education ( Including Early Childhood Development/Pre-primary Education),Gross Enrollment Rate (Grade 1-5),,135.4,134,132.3,118.8,119.2
Basic Education ( Including Early Childhood Development/Pre-primary Education),Net Enrollment Rate ( Grade 1-5),96.2,96.6,96.9,97.2,96.5,97.1
Basic Education ( Including Early Childhood Development/Pre-primary Education),Gross  Enrollment Rate (Grade 1-8),117.1,120.1,122,120.2,109.3,110.4
Basic Education ( Including Early Childhood Development/Pre-primary Education),Net Enrollment Rate (Grade 1-8),87.6,89.4,91,92.3,92.7,93.4
Basic Education ( Including Early Childhood Development/Pre-primary Education),Gender Parity Index in Net Enrollment Rate of Grade 1-8,,1,1,1,0.98,0.98
Basic Education ( Including Early Childhood Development/Pre-primary Education),Retention Rate in Grade 8,,76.6,75.9,77.4,77.9,79.3
Basic Education ( Including Early Childhood Development/Pre-primary Education),Completion Rate of Basic Education Level,,69.6,68.4,70.7,71.3,72.7
Basic Education ( Including Early Childhood Development/Pre-primary Education),Percentage of Out of School  Children Age 5-12 Years Old,,10.6,9,8.7,7.3,6.7
Basic Education ( Including Early Childhood Development/Pre-primary Education),Study Competency Percent of Students in Grade 3,,12.8,,,,14.6
Secondary Education (9-12),Gross Enrollment Rate of Grade 9-12,51.6,57.7,59.6,60.6,66.2,71.4
Secondary Education (9-12),Net Enrollment Rate of Grade 9-12,34.7,37.7,38.9,43.9,46.4,47.6
Secondary Education (9-12),Retention Rate up to Grade 10,,37.9,45.2,57.1,58.5,60.3
Secondary Education (9-12),Retention Rate up to Grade 12,,11.5,,17.2,22.2,24
Secondary Education (9-12),Net Enrollment Rate in Grade 1-12 based on Gender Parity,,0.99,0.98,0.99,1.01,1.01
Literacy rate,Literacy Rate 6+ Years,65.9,65.9,78,78,78,78
Literacy rate,Literacy Rate 15-24 Years,84.7,84.7,88.6,88.6,88.6,88.6
Literacy rate,Literacy Rate 15+ Years,56.5,57,57,57,57,57
Teacher Management,Female Teacher in Basic Level (\%),,38.8,40.7,41.2,43.1,43.7
Teacher Management,Female Teacher in Secondary Level (\%),,14.1,14.8,16.13,17.4,19.8
